iter	Passed	Remaining
0	1	115
1	2	108
2	3	102
3	4	98
4	5	98
5	6	96
6	7	95
7	8	94
8	9	93
9	10	93
10	11	90
11	12	88
12	13	87
13	14	86
14	14	84
15	15	83
16	16	82
17	18	82
18	19	82
19	20	81
20	21	80
21	22	79
22	23	78
23	24	78
24	25	77
25	26	76
26	27	75
27	29	74
28	30	74
29	31	73
30	32	72
31	33	71
32	34	70
33	35	69
34	36	68
35	37	67
36	38	66
37	39	65
38	40	63
39	41	62
40	42	61
41	43	59
42	43	58
43	44	57
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	53	48
52	54	48
53	55	47
54	55	45
55	57	44
56	58	43
57	59	42
58	60	42
59	61	41
60	62	40
61	63	39
62	64	38
63	65	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	29
72	75	28
73	76	26
74	78	26
75	79	24
76	80	23
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
